Marca,Modelo,Version,Precio,Combustible,Año,Kms,Potencia,Puertas,Cambio,Color
"Peugeot Rifter, ","Peugeot Rifter, ",1.2 e-THP Active L2,22.499 €,Gasolina,03.2019,72.288 km,110 CV / 81 kW,5,Cambio tipo manual,Azul
"Volkswagen Polo, ","Volkswagen Polo, ",1.6 TDI Advance,14.499 €,Diésel,10.2018,72.570 km,95 CV / 70 kW,5,Cambio tipo manual,Negro
"Volkswagen Polo, ","Volkswagen Polo, ",1.4 TDI Advance BlueMotion,11.199 €,Diésel,11.2015,72.932 km,90 CV / 66 kW,5,Cambio tipo manual,Gris
"Citroen C 3, ","Citroen C 3, ",1.6 HDi Selection,7.699 €,Diésel,05.2011,73.630 km,92 CV / 68 kW,5,Cambio tipo manual,Gris
"Lancia Ypsilon, ","Lancia Ypsilon, ",1.2 Gold,7.399 €,Gasolina,03.2016,73.675 km,70 CV / 51 kW,5,Cambio tipo manual,Negro
"Renault Megane, ","Renault Megane, ",1.5 dCi Energy Zen,14.299 €,Diésel,07.2017,73.690 km,110 CV / 81 kW,5,Cambio tipo manual,Plata
"Jeep Compass, ","Jeep Compass, ",1.4 M-Air Limited FWD,21.199 €,Gasolina,10.2019,73.802 km,140 CV / 103 kW,5,Cambio tipo manual,Negro
"Audi A3, ","Audi A3, ",1.6 TDI Ambiente,15.499 €,Diésel,12.2015,74.188 km,110 CV / 81 kW,3,Cambio tipo manual,Blanco
"Seat Ibiza, ","Seat Ibiza, ",1.2 TSI Style ITech,8.399 €,Gasolina,03.2014,74.763 km,85 CV / 63 kW,5,Cambio tipo manual,Blanco
"Citroen C4, ","Citroen C4, ",1.6 Blue-HDi Feel Edition,11.499 €,Diésel,03.2016,74.793 km,100 CV / 73 kW,5,Cambio tipo manual,Negro
"Seat Altea, ","Seat Altea, ",1.6 TDI Reference Ecomotive,9.199 €,Diésel,04.2014,74.985 km,105 CV / 77 kW,5,Cambio tipo manual,Blanco
