Marca,Modelo,Version,Precio,Combustible,Año,Kms,Potencia,Puertas,Cambio,Color
"Dacia Sandero II, ","Dacia Sandero II, ",1.2 Ambiance,7.199 €,Gasolina,03.2015,70.363 km,75 CV / 55 kW,5,Cambio tipo manual,Blanco
"Chevrolet Cruze, ","Chevrolet Cruze, ",1.6 LS,6.999 €,Gasolina,01.2011,70.379 km,113 CV / 83 kW,4,Cambio tipo manual,Gris
"Mercedes-Benz Clase GLA, ","Mercedes-Benz Clase GLA, ",GLA 180 Urban,,Gasolina,08.2017,70.700 km,122 CV / 90 kW,5,Cambio tipo automático,Azul
"Seat Ibiza, ","Seat Ibiza, ",1.0 TSI Style,11.199 €,Gasolina,12.2017,70.743 km,95 CV / 70 kW,5,Cambio tipo manual,Blanco
"Nissan Qashqai, ","Nissan Qashqai, ",1.6 N-Connecta,17.399 €,Gasolina,05.2017,70.841 km,163 CV / 120 kW,5,Cambio tipo manual,Blanco
"Fiat 500C, ","Fiat 500C, ",1.2 Lounge,10.599 €,Gasolina,07.2017,70.914 km,70 CV / 51 kW,2,Cambio tipo manual,Blanco
"Volkswagen up!, ","Volkswagen up!, ",1.0 TSI High up! BlueMotion,10.899 €,Gasolina,01.2018,71.079 km,90 CV / 66 kW,5,Cambio tipo manual,Negro
"Volvo XC 40, ","Volvo XC 40, ",2.0 D3 2WD,26.399 €,Diésel,11.2018,71.181 km,150 CV / 110 kW,5,Cambio tipo automático,Blanco
"Honda Civic, ","Honda Civic, ",1.0 VTEC Elegance,17.399 €,Gasolina,10.2017,71.228 km,130 CV / 95 kW,5,Cambio tipo manual,Gris
"Smart ForTwo, ","Smart ForTwo, ",0.9 Turbo Passion,,Gasolina,08.2018,71.264 km,90 CV / 66 kW,3,Cambio tipo automático,Azul
"Hyundai i20, ","Hyundai i20, ",1.2 City S,7.399 €,Gasolina,01.2013,71.285 km,85 CV / 63 kW,5,Cambio tipo manual,Negro
"Toyota RAV 4, ","Toyota RAV 4, ",2.5 Hybrid Business,30.999 €,Híbrido,05.2019,71.389 km,218 CV / 160 kW,5,Cambio tipo automático,Azul
"Citroen C 3, ","Citroen C 3, ",1.0 VTi Tonic,,Gasolina,04.2013,71.464 km,68 CV / 50 kW,5,Cambio tipo manual,Blanco
"Peugeot 308, ","Peugeot 308, ",1.2 PureTech Allure,12.099 €,Gasolina,10.2016,71.555 km,110 CV / 81 kW,5,Cambio tipo manual,Gris
"Toyota C-HR, ","Toyota C-HR, ",1.8 Hybrid Active,19.999 €,Híbrido,03.2019,71.652 km,98 CV / 72 kW,5,Cambio tipo automático,Gris
"Smart ForTwo, ","Smart ForTwo, ",0.9 Turbo Passion,13.699 €,Gasolina,11.2018,71.667 km,90 CV / 66 kW,3,Cambio tipo automático,Gris
"Peugeot 308, ","Peugeot 308, ",1.6 Blue-HDi Style,11.799 €,Diésel,11.2016,71.724 km,100 CV / 73 kW,5,Cambio tipo manual,Negro
"Chevrolet Cruze, ","Chevrolet Cruze, ",1.6 LT,7.199 €,Gasolina,02.2012,71.797 km,125 CV / 91 kW,5,Cambio tipo manual,Gris
"Dacia Duster, ","Dacia Duster, ",1.5 dCi Ambiance,12.899 €,Diésel,04.2016,71.922 km,110 CV / 80 kW,5,Cambio tipo manual,Blanco
"Citroen Berlingo, ","Citroen Berlingo, ",1.5 Blue-HDi Feel M,21.199 €,Diésel,12.2019,71.974 km,102 CV / 75 kW,5,Cambio tipo manual,Negro
"Alfa Romeo Giulietta, ","Alfa Romeo Giulietta, ",1.4 Turbo Sport,15.299 €,Gasolina,07.2018,72.064 km,120 CV / 88 kW,5,Cambio tipo manual,Blanco
"Citroen Berlingo, ","Citroen Berlingo, ",1.5 Blue-HDi Feel M,20.399 €,Diésel,06.2019,72.135 km,131 CV / 96 kW,5,Cambio tipo manual,Gris
"Nissan Juke, ","Nissan Juke, ",1.6 Visia,11.799 €,Gasolina,09.2017,72.148 km,95 CV / 69 kW,5,Cambio tipo manual,Blanco
"Renault Clio, ","Renault Clio, ",0.9 TCe Energy Zen,11.599 €,Gasolina,10.2018,72.150 km,90 CV / 66 kW,5,Cambio tipo manual,Rojo
"Citroen C4, ","Citroen C4, ",1.4 VTi Tonic,9.599 €,Gasolina,01.2015,72.209 km,95 CV / 70 kW,5,Cambio tipo manual,Blanco
"Renault Clio, ","Renault Clio, ",1.5 dCi Business Energy,,Diésel,04.2016,72.211 km,75 CV / 55 kW,5,Cambio tipo manual,Blanco
"Kia Venga, ","Kia Venga, ",1.4 Concept,9.499 €,Gasolina,05.2016,72.347 km,90 CV / 66 kW,5,Cambio tipo manual,Blanco
"Lexus NX-Serie, ","Lexus NX-Serie, ",NX 300h Eco,24.199 €,Híbrido,08.2016,72.432 km,155 CV / 114 kW,5,Cambio tipo automático,Gris
"Renault Megane, ","Renault Megane, ",1.5 dCi Energy Intens,13.499 €,Diésel,11.2016,72.504 km,110 CV / 81 kW,5,Cambio tipo manual,Blanco
"Mercedes-Benz Clase C, ","Mercedes-Benz Clase C, ",C 220 d Estate,21.499 €,Diésel,08.2015,72.517 km,170 CV / 125 kW,5,Cambio tipo manual,Blanco
"Dacia Duster, ","Dacia Duster, ",1.2 TCe Laureate 4x2,,Gasolina,10.2014,72.590 km,125 CV / 92 kW,5,Cambio tipo manual,Blanco
"Toyota Auris, ","Toyota Auris, ",1.6 Active,10.699 €,Gasolina,09.2013,72.601 km,132 CV / 97 kW,5,Cambio tipo manual,Gris
"Seat Ibiza, ","Seat Ibiza, ",1.2 TSI Style,9.999 €,Gasolina,04.2016,72.661 km,90 CV / 66 kW,5,Cambio tipo manual,Blanco
"Skoda Octavia, ","Skoda Octavia, ",1.6 TDI Ambition,11.399 €,Diésel,05.2015,72.942 km,105 CV / 77 kW,5,Cambio tipo manual,Plata
"Peugeot 308, ","Peugeot 308, ",1.2 PureTech Allure,,Gasolina,10.2016,73.382 km,130 CV / 96 kW,5,Cambio tipo manual,Gris
"Ford Tourneo, ","Ford Tourneo, ",1.0 EcoBoost Courier Trend,13.499 €,Gasolina,06.2018,73.423 km,100 CV / 74 kW,5,Cambio tipo manual,Blanco
"Lexus RX-Serie, ","Lexus RX-Serie, ",RX 450h Eco,,Híbrido,06.2018,73.636 km,262 CV / 193 kW,5,Cambio tipo automático,Gris
"Ford Mondeo, ","Ford Mondeo, ",1.6 TDCi Business,10.299 €,Diésel,02.2014,73.837 km,115 CV / 85 kW,5,Cambio tipo manual,Azul
"Dacia Sandero, ","Dacia Sandero, ",1.5 dCi Ambiance,6.999 €,Diésel,11.2013,73.940 km,75 CV / 55 kW,5,Cambio tipo manual,Blanco
"Renault Clio, ","Renault Clio, ",1.5 dCi Energy eco2 Business,,Diésel,01.2015,73.966 km,90 CV / 66 kW,5,Cambio tipo manual,Azul
"Peugeot 3008, ","Peugeot 3008, ",1.2 PureTech GT Line,20.799 €,Gasolina,09.2018,73.970 km,130 CV / 96 kW,5,Cambio tipo manual,Blanco
"Ford Focus, ","Ford Focus, ",1.5 EcoBoost ST-Line,,Gasolina,02.2019,74.061 km,150 CV / 110 kW,5,Cambio tipo manual,Rojo
"Audi A1, ","Audi A1, ",1.2 TFSI Attraction,,Gasolina,06.2014,74.135 km,85 CV / 63 kW,3,Cambio tipo manual,Rojo
"Hyundai Kona, ","Hyundai Kona, ",1.0 TGDI Klass 2WD,14.599 €,Gasolina,11.2017,74.204 km,120 CV / 88 kW,5,Cambio tipo manual,Gris
"Toyota Auris, ","Toyota Auris, ",1.8 Hybrid Active,14.799 €,Híbrido,11.2016,74.304 km,100 CV / 73 kW,5,Cambio tipo automático,Azul
"Toyota Yaris, ","Toyota Yaris, ",1.5 Hybrid Active,10.999 €,Híbrido,11.2013,74.468 km,75 CV / 55 kW,5,Cambio tipo automático,Blanco
"Hyundai Tucson, ","Hyundai Tucson, ",1.6 TGDI Style 2WD,17.799 €,Gasolina,10.2017,74.482 km,177 CV / 130 kW,5,Cambio tipo manual,Marrón
"Peugeot 308, ","Peugeot 308, ",1.2 PureTech Style,12.299 €,Gasolina,01.2017,74.594 km,130 CV / 96 kW,5,Cambio tipo manual,Negro
"Ford Focus, ","Ford Focus, ",1.0 EcoBoost ST-Line,,Gasolina,05.2018,74.724 km,125 CV / 92 kW,5,Cambio tipo manual,Blanco
"Seat León, ","Seat León, ",1.2 TSI Style,11.799 €,Gasolina,03.2015,74.850 km,110 CV / 81 kW,5,Cambio tipo manual,Gris
"Opel Mokka X, ","Opel Mokka X, ",1.6 CDTI Selective,15.099 €,Diésel,04.2018,75.005 km,135 CV / 100 kW,5,Cambio tipo manual,Gris
"Toyota Yaris, ","Toyota Yaris, ",1.33 Dual VVT-i Active,9.999 €,Gasolina,10.2014,75.255 km,100 CV / 73 kW,5,Cambio tipo manual,Blanco
"Hyundai i20, ","Hyundai i20, ",1.1 CRDi Go,7.799 €,Diésel,08.2014,75.375 km,75 CV / 55 kW,5,Cambio tipo manual,Blanco
"Volkswagen Tiguan, ","Volkswagen Tiguan, ",2.0 TDI T1 BlueMotion,13.799 €,Diésel,10.2012,75.383 km,110 CV / 81 kW,5,Cambio tipo manual,Negro
"Dacia Sandero II, ","Dacia Sandero II, ",0.9 TCe Stepway Essential,10.699 €,Gasolina,05.2019,75.416 km,90 CV / 66 kW,5,Cambio tipo manual,Blanco
"Toyota RAV 4, ","Toyota RAV 4, ",2.0 Active,17.099 €,Diésel,05.2015,75.429 km,125 CV / 91 kW,5,Cambio tipo manual,Negro
"Seat Ibiza, ","Seat Ibiza, ",1.0 TSI Style,11.699 €,Gasolina,10.2017,75.477 km,95 CV / 70 kW,5,Cambio tipo manual,Blanco
"Opel Corsa, ","Opel Corsa, ",1.4 Selective,9.799 €,Gasolina,05.2017,75.561 km,90 CV / 66 kW,5,Cambio tipo manual,Blanco
"Seat León, ","Seat León, ",1.2 TSI Style,13.899 €,Gasolina,06.2018,75.814 km,110 CV / 81 kW,5,Cambio tipo manual,Gris
"Seat Ibiza, ","Seat Ibiza, ",1.0 Reference Full Connect,12.199 €,Gasolina,06.2019,75.974 km,80 CV / 59 kW,5,Cambio tipo manual,Blanco
"Peugeot Rifter, ","Peugeot Rifter, ",Active Standard  PureTech,18.699 €,Gasolina,03.2019,76.019 km,110 CV / 81 kW,5,Cambio tipo manual,Gris
"Fiat Qubo, ","Fiat Qubo, ",1.3 M-Jet Trekking,9.499 €,Diésel,10.2014,76.261 km,95 CV / 70 kW,5,Cambio tipo manual,Plata
"Citroen C4 Grand Picasso, ","Citroen C4 Grand Picasso, ",2.0 Blue-HDi Airdream Intensive,14.599 €,Diésel,06.2014,76.327 km,150 CV / 110 kW,5,Cambio tipo automático,Gris
"Skoda Octavia, ","Skoda Octavia, ",1.6 TDI Ambition,11.399 €,Diésel,05.2015,72.942 km,105 CV / 77 kW,5,Cambio tipo manual,Plata
"Peugeot 308, ","Peugeot 308, ",1.2 PureTech Allure,,Gasolina,10.2016,73.382 km,130 CV / 96 kW,5,Cambio tipo manual,Gris
"Ford Tourneo, ","Ford Tourneo, ",1.0 EcoBoost Courier Trend,13.499 €,Gasolina,06.2018,73.423 km,100 CV / 74 kW,5,Cambio tipo manual,Blanco
"Lexus RX-Serie, ","Lexus RX-Serie, ",RX 450h Eco,,Híbrido,06.2018,73.636 km,262 CV / 193 kW,5,Cambio tipo automático,Gris
"Ford Mondeo, ","Ford Mondeo, ",1.6 TDCi Business,10.299 €,Diésel,02.2014,73.837 km,115 CV / 85 kW,5,Cambio tipo manual,Azul
"Dacia Sandero, ","Dacia Sandero, ",1.5 dCi Ambiance,6.999 €,Diésel,11.2013,73.940 km,75 CV / 55 kW,5,Cambio tipo manual,Blanco
"Renault Clio, ","Renault Clio, ",1.5 dCi Energy eco2 Business,,Diésel,01.2015,73.966 km,90 CV / 66 kW,5,Cambio tipo manual,Azul
"Peugeot 3008, ","Peugeot 3008, ",1.2 PureTech GT Line,20.799 €,Gasolina,09.2018,73.970 km,130 CV / 96 kW,5,Cambio tipo manual,Blanco
"Ford Focus, ","Ford Focus, ",1.5 EcoBoost ST-Line,,Gasolina,02.2019,74.061 km,150 CV / 110 kW,5,Cambio tipo manual,Rojo
"Audi A1, ","Audi A1, ",1.2 TFSI Attraction,,Gasolina,06.2014,74.135 km,85 CV / 63 kW,3,Cambio tipo manual,Rojo
"Hyundai Kona, ","Hyundai Kona, ",1.0 TGDI Klass 2WD,14.599 €,Gasolina,11.2017,74.204 km,120 CV / 88 kW,5,Cambio tipo manual,Gris
"Toyota Auris, ","Toyota Auris, ",1.8 Hybrid Active,14.799 €,Híbrido,11.2016,74.304 km,100 CV / 73 kW,5,Cambio tipo automático,Azul
"Toyota Yaris, ","Toyota Yaris, ",1.5 Hybrid Active,10.999 €,Híbrido,11.2013,74.468 km,75 CV / 55 kW,5,Cambio tipo automático,Blanco
"Hyundai Tucson, ","Hyundai Tucson, ",1.6 TGDI Style 2WD,17.799 €,Gasolina,10.2017,74.482 km,177 CV / 130 kW,5,Cambio tipo manual,Marrón
"Peugeot 308, ","Peugeot 308, ",1.2 PureTech Style,12.299 €,Gasolina,01.2017,74.594 km,130 CV / 96 kW,5,Cambio tipo manual,Negro
"Ford Focus, ","Ford Focus, ",1.0 EcoBoost ST-Line,,Gasolina,05.2018,74.724 km,125 CV / 92 kW,5,Cambio tipo manual,Blanco
"Seat León, ","Seat León, ",1.2 TSI Style,11.799 €,Gasolina,03.2015,74.850 km,110 CV / 81 kW,5,Cambio tipo manual,Gris
"Opel Mokka X, ","Opel Mokka X, ",1.6 CDTI Selective,15.099 €,Diésel,04.2018,75.005 km,135 CV / 100 kW,5,Cambio tipo manual,Gris
"Toyota Yaris, ","Toyota Yaris, ",1.33 Dual VVT-i Active,9.999 €,Gasolina,10.2014,75.255 km,100 CV / 73 kW,5,Cambio tipo manual,Blanco
"Hyundai i20, ","Hyundai i20, ",1.1 CRDi Go,7.799 €,Diésel,08.2014,75.375 km,75 CV / 55 kW,5,Cambio tipo manual,Blanco
"Volkswagen Tiguan, ","Volkswagen Tiguan, ",2.0 TDI T1 BlueMotion,13.799 €,Diésel,10.2012,75.383 km,110 CV / 81 kW,5,Cambio tipo manual,Negro
"Dacia Sandero II, ","Dacia Sandero II, ",0.9 TCe Stepway Essential,10.699 €,Gasolina,05.2019,75.416 km,90 CV / 66 kW,5,Cambio tipo manual,Blanco
"Toyota RAV 4, ","Toyota RAV 4, ",2.0 Active,17.099 €,Diésel,05.2015,75.429 km,125 CV / 91 kW,5,Cambio tipo manual,Negro
"Seat Ibiza, ","Seat Ibiza, ",1.0 TSI Style,11.699 €,Gasolina,10.2017,75.477 km,95 CV / 70 kW,5,Cambio tipo manual,Blanco
"Opel Corsa, ","Opel Corsa, ",1.4 Selective,9.799 €,Gasolina,05.2017,75.561 km,90 CV / 66 kW,5,Cambio tipo manual,Blanco
"Seat León, ","Seat León, ",1.2 TSI Style,13.899 €,Gasolina,06.2018,75.814 km,110 CV / 81 kW,5,Cambio tipo manual,Gris
"Seat Ibiza, ","Seat Ibiza, ",1.0 Reference Full Connect,12.199 €,Gasolina,06.2019,75.974 km,80 CV / 59 kW,5,Cambio tipo manual,Blanco
"Peugeot Rifter, ","Peugeot Rifter, ",Active Standard  PureTech,18.699 €,Gasolina,03.2019,76.019 km,110 CV / 81 kW,5,Cambio tipo manual,Gris
"Fiat Qubo, ","Fiat Qubo, ",1.3 M-Jet Trekking,9.499 €,Diésel,10.2014,76.261 km,95 CV / 70 kW,5,Cambio tipo manual,Plata
"Citroen C4 Grand Picasso, ","Citroen C4 Grand Picasso, ",2.0 Blue-HDi Airdream Intensive,14.599 €,Diésel,06.2014,76.327 km,150 CV / 110 kW,5,Cambio tipo automático,Gris
"Jeep Compass, ","Jeep Compass, ",1.4 M-Air Limited 4x2,19.999 €,Gasolina,08.2018,76.504 km,140 CV / 103 kW,5,Cambio tipo manual,Negro
"Peugeot 208, ","Peugeot 208, ",1.2 VTi Active,8.799 €,Gasolina,03.2013,76.572 km,82 CV / 60 kW,5,Cambio tipo manual,Negro
